targetSpeed,actualSpeeds,actualTimes,speedFrac
-0.251414;0.293077;-0.66263;0.512591;0.284866;-0.0303332,-0.24889;0.293327;-0.661743;0.492476;0.279388;-0.0295812,0.996765,1
-0.252109;0.292753;-0.662414;0.519332;0.286586;-0.0305763,-0.250644;0.293279;-0.662588;0.505867;0.283093;-0.0300863,1.00477,1
-0.25273;0.292305;-0.661935;0.526092;0.28825;-0.0308155,-0.251414;0.293077;-0.66263;0.512591;0.284866;-0.0303332,1.01277,1
-0.253275;0.291731;-0.661188;0.532868;0.289858;-0.0310505,-0.252109;0.292753;-0.662414;0.519332;0.286586;-0.0305763,1.02077,1
-0.253742;0.291031;-0.660171;0.53966;0.291409;-0.0312815,-0.252109;0.292753;-0.662414;0.519332;0.286586;-0.0305763,1.02877,1
-0.254131;0.2902;-0.658878;0.546468;0.292902;-0.0315082,-0.25273;0.292305;-0.661935;0.526092;0.28825;-0.0308155,1.03677,1
-0.254439;0.289239;-0.657305;0.553292;0.294335;-0.0317306,-0.253275;0.291731;-0.661188;0.532868;0.289858;-0.0310505,1.04477,1
-0.254666;0.288144;-0.655448;0.560129;0.295707;-0.0319486,-0.254131;0.2902;-0.658878;0.546468;0.292902;-0.0315082,1.05277,1
-0.254811;0.286914;-0.653304;0.566981;0.297018;-0.032162,-0.254439;0.289239;-0.657305;0.553291;0.294335;-0.0317306,1.06077,1
-0.254871;0.285547;-0.650867;0.573847;0.298266;-0.0323709,-0.254666;0.288144;-0.655448;0.560129;0.295707;-0.0319486,1.06877,1
-0.254847;0.284041;-0.648135;0.580725;0.29945;-0.032575,-0.254811;0.286914;-0.653304;0.566981;0.297018;-0.032162,1.07677,1
-0.254736;0.282394;-0.645102;0.587615;0.300569;-0.0327744,-0.254871;0.285547;-0.650867;0.573846;0.298266;-0.0323709,1.08477,1
-0.254537;0.280604;-0.641764;0.594517;0.301622;-0.0329689,-0.254847;0.284041;-0.648135;0.580725;0.29945;-0.032575,1.09277,1
-0.25425;0.27867;-0.638118;0.60143;0.302608;-0.0331584,-0.254736;0.282394;-0.645102;0.587615;0.300569;-0.0327744,1.10077,1
-0.253872;0.276588;-0.63416;0.608354;0.303526;-0.0333428,-0.254736;0.282394;-0.645102;0.587615;0.300569;-0.0327744,1.10877,1
-0.253403;0.274359;-0.629884;0.615287;0.304375;-0.0335221,-0.254537;0.280604;-0.641764;0.594517;0.301622;-0.0329689,1.11677,1
-0.252841;0.271978;-0.625287;0.62223;0.305153;-0.0336961,-0.25425;0.27867;-0.638118;0.60143;0.302608;-0.0331584,1.12477,1
-0.252184;0.269445;-0.620365;0.629182;0.305859;-0.0338647,-0.253403;0.274359;-0.629884;0.615287;0.304375;-0.0335221,1.13277,1
-0.251433;0.266758;-0.615114;0.636142;0.306493;-0.0340279,-0.252841;0.271978;-0.625287;0.62223;0.305153;-0.0336961,1.14077,1
-0.250585;0.263915;-0.60953;0.643109;0.307054;-0.0341856,-0.252184;0.269446;-0.620366;0.629182;0.305859;-0.0338647,1.14877,1
-0.249639;0.260913;-0.603607;0.650084;0.307539;-0.0343376,-0.251433;0.266758;-0.615114;0.636142;0.306493;-0.0340279,1.15677,1
-0.248594;0.257752;-0.597343;0.657065;0.307949;-0.0344839,-0.251433;0.266758;-0.615114;0.636142;0.306493;-0.0340279,1.16477,1
-0.247448;0.254428;-0.590733;0.664052;0.308281;-0.0346244,-0.250585;0.263915;-0.60953;0.643109;0.307054;-0.0341856,1.17277,1
-0.2462;0.25094;-0.583774;0.671044;0.308536;-0.0347589,-0.249639;0.260913;-0.603607;0.650084;0.307539;-0.0343376,1.18077,1
