targetSpeed,actualSpeeds,actualTimes,speedFrac
-1.07058;-1.46706;-2.08848;-1.50233;1.59765;-0.194918,-0.243192;0.291393;-0.655227;0.458783;0.269071;-0.0282338,0.948069,1
-1.07058;-1.46706;-2.08848;-1.50233;1.59765;-0.194918,-0.243192;0.291393;-0.655227;0.458783;0.269071;-0.0282338,0.956089,1
-1.07253;-1.46473;-2.09374;-1.49861;1.59982;-0.195146,-0.244447;0.291998;-0.656986;0.465363;0.271196;-0.0285054,0.964091,1
-1.0745;-1.46239;-2.09901;-1.49483;1.60201;-0.195377,-0.245637;0.292495;-0.658515;0.471964;0.273274;-0.0287738,0.972112,1
-1.0745;-1.46239;-2.09901;-1.49483;1.60201;-0.195377,-0.245637;0.292495;-0.658515;0.471964;0.273274;-0.0287738,0.980112,1
-1.07647;-1.46004;-2.10428;-1.49101;1.60421;-0.195609,-0.246761;0.292882;-0.65981;0.478587;0.275306;-0.029039,0.988112,1
-1.07846;-1.4577;-2.10958;-1.48708;1.60644;-0.195845,-0.248809;0.293318;-0.661685;0.491913;0.279227;-0.0295596,0.996112,1
-1.08046;-1.45535;-2.11488;-1.48304;1.6087;-0.196085,-0.250578;0.29329;-0.662573;0.505319;0.282946;-0.030066,1.00411,1
-1.08248;-1.45301;-2.12018;-1.47895;1.61098;-0.196328,-0.251354;0.293098;-0.662637;0.512041;0.284724;-0.0303132,1.01211,1
-1.08449;-1.45066;-2.12548;-1.4748;1.61327;-0.196572,-0.252055;0.292784;-0.662442;0.518782;0.286448;-0.0305566,1.02012,1
-1.08651;-1.44832;-2.13077;-1.47059;1.61557;-0.196819,-0.252683;0.292346;-0.661984;0.525539;0.288116;-0.0307961,1.02812,1
-1.08854;-1.44599;-2.13606;-1.46634;1.61789;-0.197067,-0.253233;0.291783;-0.66126;0.532314;0.289729;-0.0310315,1.03612,1
-1.08854;-1.44599;-2.13606;-1.46634;1.61789;-0.197067,-0.253233;0.291783;-0.66126;0.532314;0.289729;-0.0310315,1.04412,1
-1.09057;-1.44366;-2.14135;-1.46203;1.62022;-0.197317,-0.253707;0.291092;-0.660263;0.539111;0.291286;-0.031263,1.05212,1
-1.0926;-1.44134;-2.14662;-1.45766;1.62256;-0.197569,-0.254102;0.290272;-0.658992;0.545918;0.292783;-0.0314901,1.06012,1
-1.09464;-1.43903;-2.15186;-1.45319;1.62493;-0.197824,-0.254651;0.288237;-0.655609;0.559576;0.295599;-0.0319311,1.06812,1
-1.09464;-1.43903;-2.15186;-1.45319;1.62493;-0.197824,-0.254651;0.288237;-0.655609;0.559576;0.295599;-0.0319311,1.07612,1
-1.09668;-1.43674;-2.15709;-1.44866;1.6273;-0.198081,-0.254802;0.287018;-0.653488;0.566427;0.296914;-0.032145,1.08412,1
-1.09871;-1.43445;-2.1623;-1.44408;1.62969;-0.19834,-0.25487;0.285663;-0.651075;0.573291;0.298167;-0.0323542,1.09212,1
-1.10075;-1.43219;-2.16747;-1.43939;1.63209;-0.198602,-0.254748;0.282532;-0.645358;0.587058;0.300481;-0.0327585,1.10012,1
-1.10279;-1.42994;-2.1726;-1.43463;1.6345;-0.198865,-0.254557;0.280754;-0.642045;0.593959;0.30154;-0.0329534,1.10812,1
-1.10482;-1.42771;-2.17771;-1.42983;1.63692;-0.19913,-0.254276;0.278831;-0.638425;0.600871;0.302531;-0.0331433,1.11612,1
-1.10685;-1.4255;-2.18279;-1.42497;1.63935;-0.199397,-0.253906;0.276762;-0.634491;0.607794;0.303455;-0.0333281,1.12412,1
-1.10888;-1.4233;-2.18783;-1.42005;1.64178;-0.199665,-0.253444;0.274544;-0.630241;0.614726;0.304309;-0.0335078,1.13212,1
-1.10888;-1.4233;-2.18783;-1.42005;1.64178;-0.199665,-0.253444;0.274544;-0.630241;0.614726;0.304309;-0.0335078,1.14012,1
-1.11091;-1.42112;-2.19284;-1.41508;1.64422;-0.199934,-0.252889;0.272176;-0.625671;0.621669;0.305093;-0.0336822,1.14812,1
-1.11292;-1.41896;-2.19781;-1.41005;1.64667;-0.200205,-0.252241;0.269656;-0.620775;0.62862;0.305805;-0.0338513,1.15612,1
-1.11494;-1.41683;-2.20273;-1.40497;1.64912;-0.200477,-0.251497;0.266981;-0.615551;0.635579;0.306445;-0.0340149,1.16412,1
-1.11693;-1.41474;-2.20757;-1.39978;1.65158;-0.200752,-0.249719;0.261162;-0.604099;0.64952;0.307503;-0.0343255,1.17212,1
-1.11892;-1.41267;-2.21235;-1.39453;1.65405;-0.201027,-0.248682;0.258013;-0.597862;0.6565;0.307918;-0.0344723,1.18012,1
-1.1209;-1.41063;-2.21709;-1.38922;1.65651;-0.201304,-0.247544;0.254702;-0.59128;0.663487;0.308257;-0.0346132,1.18812,1
-1.12288;-1.40862;-2.22176;-1.38386;1.65898;-0.201582,-0.246305;0.251228;-0.584349;0.670479;0.308518;-0.0347483,1.19612,1
-1.12484;-1.40664;-2.22638;-1.37844;1.66145;-0.201861,-0.244963;0.247588;-0.577064;0.677476;0.3087;-0.0348773,1.20412,1
-1.12678;-1.40469;-2.23094;-1.37297;1.66392;-0.202141,-0.243517;0.24378;-0.56942;0.684476;0.308802;-0.0350003,1.21212,1
-1.12872;-1.40277;-2.23543;-1.36744;1.66639;-0.202422,-0.241965;0.239803;-0.561415;0.691481;0.308822;-0.035117,1.22012,1
-1.13064;-1.40088;-2.23986;-1.36185;1.66886;-0.202704,-0.240307;0.235654;-0.553043;0.698488;0.308761;-0.0352275,1.22812,1
-1.13064;-1.40088;-2.23986;-1.36185;1.66886;-0.202704,-0.240307;0.235654;-0.553043;0.698488;0.308761;-0.0352275,1.23613,1
-1.13255;-1.39903;-2.24421;-1.35621;1.67133;-0.202987,-0.23854;0.231332;-0.5443;0.705499;0.308615;-0.0353316,1.24413,1
-1.13445;-1.39721;-2.2485;-1.35051;1.6738;-0.20327,-0.236665;0.226834;-0.535184;0.71251;0.308386;-0.0354293,1.25213,1
-1.13632;-1.39544;-2.25271;-1.34476;1.67626;-0.203554,-0.234678;0.22216;-0.525688;0.719524;0.30807;-0.0355203,1.26013,1
-1.13817;-1.39373;-2.25677;-1.3389;1.67872;-0.20384,-0.230367;0.212266;-0.505534;0.733558;0.307178;-0.0356825,1.26813,1
-1.13999;-1.39207;-2.26073;-1.33298;1.68117;-0.204125,-0.228041;0.207048;-0.494877;0.740572;0.306599;-0.0357533,1.27613,1
-1.1418;-1.39046;-2.2646;-1.327;1.68362;-0.204412,-0.2256;0.201645;-0.483825;0.747585;0.30593;-0.0358172,1.28413,1
-1.14359;-1.38889;-2.26839;-1.32097;1.68606;-0.204699,-0.223041;0.196055;-0.472373;0.754596;0.30517;-0.0358741,1.29213,1
-1.14535;-1.38736;-2.27208;-1.31488;1.6885;-0.204986,-0.220365;0.190276;-0.460518;0.761605;0.304318;-0.0359238,1.30013,1
-1.14535;-1.38736;-2.27208;-1.31488;1.6885;-0.204986,-0.220365;0.190276;-0.460518;0.761605;0.304318;-0.0359238,1.30813,1
-1.14709;-1.38589;-2.27567;-1.30873;1.69092;-0.205274,-0.217569;0.184307;-0.448255;0.768612;0.303373;-0.0359664,1.31613,1
-1.14881;-1.38446;-2.27916;-1.30253;1.69334;-0.205562,-0.214652;0.178145;-0.43558;0.775615;0.302333;-0.0360016,1.32413,1
-1.15048;-1.38312;-2.28245;-1.29622;1.69574;-0.20585,-0.208451;0.165235;-0.408978;0.789608;0.299966;-0.0360497,1.33213,1
-1.15213;-1.38185;-2.28562;-1.28985;1.69813;-0.206139,-0.205164;0.158484;-0.395042;0.796598;0.298637;-0.0360624,1.34013,1
-1.15374;-1.38064;-2.28867;-1.28343;1.70051;-0.206427,-0.201751;0.151532;-0.380679;0.803582;0.297209;-0.0360675,1.34813,1
-1.15533;-1.37948;-2.2916;-1.27695;1.70288;-0.206716,-0.198212;0.144378;-0.365882;0.81056;0.295681;-0.0360647,1.35613,1
-1.15689;-1.37838;-2.29442;-1.27041;1.70523;-0.207004,-0.194543;0.137021;-0.350649;0.817531;0.294052;-0.0360541,1.36413,1
-1.15842;-1.37734;-2.29711;-1.26382;1.70757;-0.207293,-0.190745;0.129457;-0.334974;0.824495;0.292322;-0.0360356,1.37213,1
-1.15991;-1.37636;-2.29967;-1.25717;1.7099;-0.207581,-0.186816;0.121685;-0.318855;0.83145;0.290488;-0.036009,1.38013,1
-1.16138;-1.37545;-2.30209;-1.25047;1.71221;-0.207868,-0.182755;0.113703;-0.302287;0.838398;0.28855;-0.0359742,1.38813,1
-1.16281;-1.3746;-2.30438;-1.24371;1.7145;-0.208156,-0.17856;0.105509;-0.285265;0.845336;0.286507;-0.0359312,1.39613,1
-1.16281;-1.3746;-2.30438;-1.24371;1.7145;-0.208156,-0.17856;0.105509;-0.285265;0.845336;0.286507;-0.0359312,1.40413,1
-1.1642;-1.37382;-2.30654;-1.2369;1.71677;-0.208443,-0.17423;0.0971019;-0.267786;0.852264;0.284357;-0.0358798,1.41213,1
-1.16556;-1.3731;-2.30855;-1.23003;1.71903;-0.20873,-0.169765;0.088479;-0.249845;0.859183;0.2821;-0.03582,1.42013,1
-1.16689;-1.37246;-2.31041;-1.2231;1.72127;-0.209016,-0.165162;0.0796384;-0.231439;0.86609;0.279734;-0.0357517,1.42813,1
-1.16815;-1.37195;-2.312;-1.21608;1.72348;-0.209301,-0.155538;0.0612971;-0.193212;0.87987;0.274673;-0.0355891,1.43614,1
-1.16935;-1.37153;-2.3134;-1.20899;1.72565;-0.209585,-0.150515;0.0517923;-0.173383;0.886742;0.271975;-0.0354947,1.44414,1
-1.17052;-1.37119;-2.31464;-1.20185;1.72781;-0.209868,-0.14535;0.0420623;-0.153072;0.893601;0.269164;-0.0353914,1.45214,1
